timestamp,open,high,low,close,volume
2022-01-01 00:00:00+00:00,46221.22,46716.19,46219.13,46665.22,13.84772624
2022-01-01 01:00:00+00:00,46649.08,46934.18,46574.09,46808.94,13.4225709
2022-01-01 02:00:00+00:00,46784.3,46924.9,46732.83,46816.01,5.46078571
2022-01-01 03:00:00+00:00,46812.85,46902.46,46763.24,46801.51,5.00608846
2022-01-01 04:00:00+00:00,46801.3,46866.26,46621.67,46699.76,10.27034532
2022-01-01 05:00:00+00:00,46700.75,47555.18,46673.31,47199.51,10.71567253
2022-01-01 06:00:00+00:00,47209.72,47320.27,46938.63,46986.16,9.15184786
2022-01-01 07:00:00+00:00,46998.81,47233.73,46914.96,47210.36,17.7485145
2022-01-01 08:00:00+00:00,47222.77,47345.05,47093.48,47093.48,3.96424709
2022-01-01 09:00:00+00:00,47070.5,47205.46,46950.65,47142.05,6.64052321
2022-01-01 10:00:00+00:00,47188.69,47281.61,46724.72,46863.54,12.69747143
2022-01-01 11:00:00+00:00,46884.35,47008.47,46763.46,46776.72,12.58194808
2022-01-01 12:00:00+00:00,46797.92,47141.94,46766.38,47122.92,7.0890498
2022-01-01 13:00:00+00:00,47134.93,47190.88,46945.68,47029.17,10.77622627
2022-01-01 14:00:00+00:00,47027.87,47097.28,46874.82,46901.25,8.42329679
2022-01-01 15:00:00+00:00,46878.52,47478.73,46878.52,47307.45,30.29540809
2022-01-01 16:00:00+00:00,47310.61,47521.37,47212.94,47279.8,8.0601149
2022-01-01 17:00:00+00:00,47285.36,47958.65,47251.14,47750.97,18.50418731
2022-01-01 18:00:00+00:00,47761.25,47836.72,47423.82,47602.51,28.62333528
2022-01-01 19:00:00+00:00,47591.36,47618.76,47294.83,47342.62,16.50037094
2022-01-01 20:00:00+00:00,47343.16,47560.43,47254.32,47407.74,11.99988901
2022-01-01 21:00:00+00:00,47412.85,47547.55,47273.04,47329.09,15.78801444
2022-01-01 22:00:00+00:00,47343.04,47492.54,47225.85,47436.64,12.08815561
2022-01-01 23:00:00+00:00,47445.27,47813.14,47296.36,47728.93,23.56018113
2022-01-02 00:00:00+00:00,47718.04,47757.99,47384.68,47634.25,20.62641395
2022-01-02 01:00:00+00:00,47639.03,47639.03,47315.6,47370.71,16.94020528
2022-01-02 02:00:00+00:00,47375.97,47447.76,47281.47,47372.41,12.53566281
2022-01-02 03:00:00+00:00,47380.21,47455.37,47273.5,47319.01,11.95739519
2022-01-02 04:00:00+00:00,47301.82,47409.35,46772.24,46899.02,18.20465826
2022-01-02 05:00:00+00:00,46892.47,47077.69,46838.48,47067.6,15.15620426
2022-01-02 06:00:00+00:00,47080.57,47228.53,47012.81,47126.79,9.79174236
2022-01-02 07:00:00+00:00,47123.83,47286.73,47098.93,47172.72,8.33334816
2022-01-02 08:00:00+00:00,47131.92,47245.45,46982.22,47219.29,11.8636788
2022-01-02 09:00:00+00:00,47205.45,47489.28,47155.55,47284.75,7.39829576
2022-01-02 10:00:00+00:00,47265.52,47341.41,47147.9,47167.7,4.21526883
2022-01-02 11:00:00+00:00,47154.84,47380.15,47154.84,47235.77,6.11956676
2022-01-02 12:00:00+00:00,47238.28,47434.95,47019.45,47298.86,8.75018596
2022-01-02 13:00:00+00:00,47284.87,47284.87,47072.25,47131.63,9.71207939
2022-01-02 14:00:00+00:00,47133.43,47196.22,47019.61,47120.18,9.16011258
2022-01-02 15:00:00+00:00,47124.3,47379.5,47066.69,47340.4,11.21649866
2022-01-02 16:00:00+00:00,47341.69,47880.03,47288.79,47799.96,21.82186352
2022-01-02 17:00:00+00:00,47804.32,47987.85,47328.07,47387.73,35.42377201
2022-01-02 18:00:00+00:00,47387.03,47387.03,46644.55,47054.19,29.86039669
2022-01-02 19:00:00+00:00,47049.73,47212.91,46862.83,46918.22,18.7707124
2022-01-02 20:00:00+00:00,46911.96,47052.37,46833.17,46999.93,12.98262412
2022-01-02 21:00:00+00:00,46980.44,47173.11,46924.66,47015.4,25.73174408
2022-01-02 22:00:00+00:00,47031.25,47389.89,47031.25,47326.08,21.5875605
2022-01-02 23:00:00+00:00,47326.13,47475.6,47269.64,47289.79,19.5005691
2022-01-03 00:00:00+00:00,47270.43,47279.64,47025.88,47025.88,10.16538989
2022-01-03 01:00:00+00:00,47030.92,47144.96,46949.98,47100.25,22.17751383
2022-01-03 02:00:00+00:00,47096.52,47100.68,46858.47,46994.32,20.0570465
2022-01-03 03:00:00+00:00,46995.97,47073.86,46720.82,46802.35,12.84324581
2022-01-03 04:00:00+00:00,46778.08,46935.99,46756.93,46817.19,10.03410534
2022-01-03 05:00:00+00:00,46820.87,47212.0,46777.53,47090.63,12.68789751
2022-01-03 06:00:00+00:00,47091.43,47093.16,46892.13,46902.6,6.76933035
2022-01-03 07:00:00+00:00,46890.77,47078.5,46855.67,47049.58,7.17064326
2022-01-03 08:00:00+00:00,47053.49,47141.88,46940.75,46984.05,6.18518813
2022-01-03 09:00:00+00:00,46987.36,47098.45,46780.69,46981.24,9.07253209
2022-01-03 10:00:00+00:00,46988.76,47253.18,46988.76,47159.54,8.11818519
2022-01-03 11:00:00+00:00,47176.69,47429.95,47176.69,47402.53,8.59014695
2022-01-03 12:00:00+00:00,47411.37,47565.16,47186.12,47189.15,12.64819703
2022-01-03 13:00:00+00:00,47218.31,47350.1,47134.25,47142.37,15.15343355
2022-01-03 14:00:00+00:00,47130.96,47277.71,46789.25,46875.84,24.12874614
2022-01-03 15:00:00+00:00,46875.57,47005.98,46600.41,46675.99,17.0630595
2022-01-03 16:00:00+00:00,46667.71,46766.51,46282.08,46478.46,21.51126006
2022-01-03 17:00:00+00:00,46460.37,46783.96,46419.67,46584.98,17.3503409
2022-01-03 18:00:00+00:00,46594.66,46730.35,46411.55,46473.14,16.61655561
2022-01-03 19:00:00+00:00,46454.65,46651.13,46356.69,46378.05,13.13220434
2022-01-03 20:00:00+00:00,46351.54,46407.93,45700.0,45920.52,41.83284866
2022-01-03 21:00:00+00:00,45920.52,46259.99,45818.12,45969.88,20.28473497
2022-01-03 22:00:00+00:00,45979.52,46457.31,45969.69,46215.45,33.67204977
2022-01-03 23:00:00+00:00,46230.18,46570.37,46186.51,46437.18,20.59846009
2022-01-04 00:00:00+00:00,46446.93,46537.58,46143.26,46245.41,19.44871575
2022-01-04 01:00:00+00:00,46228.85,46392.49,46047.16,46074.54,12.06601582
2022-01-04 02:00:00+00:00,46057.26,46264.23,45953.46,46112.87,20.15693512
2022-01-04 03:00:00+00:00,46116.74,46382.13,46020.73,46298.95,19.33693524
2022-01-04 04:00:00+00:00,46293.28,46405.75,46019.86,46092.16,19.11973337
2022-01-04 05:00:00+00:00,46068.96,46296.18,46027.77,46208.87,13.11164511
2022-01-04 06:00:00+00:00,46149.36,46395.87,46072.91,46344.21,14.4867318
2022-01-04 07:00:00+00:00,46352.13,46577.08,46329.7,46547.34,13.95858604
2022-01-04 08:00:00+00:00,46558.05,46677.15,46407.37,46480.31,14.04347147
2022-01-04 09:00:00+00:00,46486.99,46592.74,46304.84,46374.91,9.8379885
2022-01-04 10:00:00+00:00,46389.37,46760.08,46301.4,46641.11,11.9749266
2022-01-04 11:00:00+00:00,46660.5,46769.2,46619.32,46755.37,11.47328928
2022-01-04 12:00:00+00:00,46731.03,46734.69,46482.58,46640.83,7.50761654
2022-01-04 13:00:00+00:00,46641.65,47076.75,46402.34,46947.82,15.7192425
2022-01-04 14:00:00+00:00,46968.56,47472.36,46826.23,47335.09,50.32353111
2022-01-04 15:00:00+00:00,47325.91,47527.94,46853.57,46898.81,31.61832537
2022-01-04 16:00:00+00:00,46907.4,46907.4,46640.32,46745.85,20.54288733
2022-01-04 17:00:00+00:00,46775.88,46984.62,46535.6,46559.4,9.24889385
2022-01-04 18:00:00+00:00,46556.18,46717.15,45550.0,45737.44,32.62992489
2022-01-04 19:00:00+00:00,45678.63,46458.98,45610.5,46057.76,30.61466561
2022-01-04 20:00:00+00:00,46106.7,46419.44,45963.85,46246.55,17.70822909
2022-01-04 21:00:00+00:00,46245.08,46320.48,46032.52,46213.8,10.48171321
2022-01-04 22:00:00+00:00,46207.05,46252.31,45971.03,46144.8,7.25730175
2022-01-04 23:00:00+00:00,46144.8,46145.91,45760.94,45825.84,27.82330037
2022-01-05 00:00:00+00:00,45828.31,46291.24,45718.68,46268.96,28.11412525
2022-01-05 01:00:00+00:00,46259.76,46330.0,46113.17,46189.14,29.47746117
2022-01-05 02:00:00+00:00,46205.05,46383.72,46169.93,46299.06,16.78020638
2022-01-05 03:00:00+00:00,46298.87,46557.14,46298.87,46437.55,14.18637886
2022-01-05 04:00:00+00:00,46442.29,46522.4,46358.03,46401.66,12.75106773
2022-01-05 05:00:00+00:00,46392.04,46400.01,46251.05,46288.4,14.77249926
2022-01-05 06:00:00+00:00,46300.0,46458.17,46253.32,46457.36,18.18703859
2022-01-05 07:00:00+00:00,46453.49,46480.65,46343.99,46404.97,7.03377249
2022-01-05 08:00:00+00:00,46421.2,46670.9,46268.97,46626.78,58.9852015
2022-01-05 09:00:00+00:00,46630.52,46945.79,46583.3,46866.18,29.04952583
2022-01-05 10:00:00+00:00,46873.66,47069.69,46708.8,46838.34,26.21267717
2022-01-05 11:00:00+00:00,46825.71,46825.71,46109.8,46268.93,31.38509966
2022-01-05 12:00:00+00:00,46316.91,46346.65,45887.2,46226.57,48.4897415
2022-01-05 13:00:00+00:00,46227.22,46442.74,46119.07,46420.76,35.36286336
2022-01-05 14:00:00+00:00,46426.84,46824.11,46157.14,46710.6,38.50691606
